,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges,Player-additional
141,Darrell Armstrong,1995,2008,G,6-0,170.0,June 22 1968,Fayetteville State University,armstda01
142,Hilton Armstrong,2007,2014,F-C,6-11,235.0,November 11 1984,UConn,armsthi01
143,Tate Armstrong,1978,1979,G,6-3,175.0,October 5 1955,Duke,armstta01
144,Jesse Arnelle,1956,1956,F,6-5,220.0,December 30 1933,Penn State,arnelje01
145,Jay Arnette,1964,1966,G,6-2,175.0,December 19 1938,Texas,arnetja01
146,Bob Arnzen,1970,1974,F,6-5,205.0,November 3 1947,Notre Dame,arnzebo01
147,Carlos Arroyo,2002,2011,G,6-2,202.0,July 30 1979,Florida International University,arroyca01
148,Darrell Arthur,2009,2018,F,6-9,235.0,March 25 1988,Kansas,arthuda01
149,John Arthurs,1970,1970,G,6-4,185.0,August 15 1947,Tulane,arthujo01
150,Jamel Artis,2018,2018,G-F,6-7,213.0,January 12 1993,Pitt,artisja01
151,Omer Asik,2011,2018,C,7-0,255.0,July 4 1986,,asikom01
152,Vincent Askew,1988,1998,G-F,6-6,210.0,February 28 1966,Memphis,askewvi01
153,Keith Askins,1991,1999,G-F,6-7,197.0,December 15 1967,Alabama,askinke01
154,Don Asmonga,1954,1954,G,6-2,185.0,February 15 1928,Alliance College,asmondo01
155,Dick Atha,1956,1958,G,6-2,190.0,September 21 1931,Indiana State University,athadi01
156,Chucky Atkins,2000,2010,G,5-11,160.0,August 14 1974,South Florida,atkinch01
157,Al Attles,1961,1971,G,6-0,175.0,November 7 1936,North Carolina A&T,attleal01
158,Chet Aubuchon,1947,1947,G,5-10,137.0,May 18 1916,Michigan State,aubucch01
159,Stacey Augmon,1992,2006,F-G,6-8,205.0,August 1 1968,UNLV,augmost01
160,D.J. Augustin,2009,2022,G,5-11,183.0,November 10 1987,Texas,augusdj01
161,James Augustine,2007,2008,F,6-10,235.0,February 27 1984,Illinois,augusja01
162,Isaac Austin,1992,2002,C,6-10,255.0,August 18 1969,Arizona State,austiis01
163,Johnny Austin,1967,1968,G,6-0,170.0,August 31 1944,Boston College,austijo01
164,Ken Austin,1984,1984,F,6-9,205.0,July 15 1961,Rice University,austike01
165,Deni Avdija,2021,2023,G-F,6-9,210.0,January 3 2001,,avdijde01
166,Anthony Avent,1993,2000,F,6-9,235.0,October 18 1969,Seton Hall,aventan01
167,Bird Averitt,1974,1978,G,6-1,170.0,July 22 1952,Pepperdine,averibi01
168,William Avery,2000,2002,G,6-2,197.0,August 8 1979,Duke,averywi01
169,Dennis Awtrey,1971,1982,C,6-10,235.0,February 22 1948,Santa Clara,awtrede01
170,Joel Ayayi,2022,2022,G,6-5,180.0,March 5 2000,Gonzaga,ayayijo01
171,Gustavo Ayon,2012,2014,C,6-10,250.0,April 1 1985,,ayongu01
172,Jeff Ayres,2010,2016,F,6-9,240.0,April 29 1987,Arizona State,pendeje02
173,Deandre Ayton,2019,2023,C,6-11,250.0,July 23 1998,Arizona,aytonde01
174,Kelenna Azubuike,2007,2012,G,6-5,220.0,December 16 1983,Kentucky,azubuke01
175,Udoka Azubuike,2021,2023,C,6-10,280.0,September 17 1999,Kansas,azubuud01
176,Chris Babb,2014,2014,G,6-5,225.0,February 14 1990,Penn State Iowa State,babbch01
177,Luke Babbitt,2011,2018,F,6-9,225.0,June 20 1989,Nevada,babbilu01
178,Milos Babic,1991,1992,C-F,7-0,240.0,November 23 1968,Tennessee Technological University,babicmi01
179,Johnny Bach,1949,1949,F-G,6-2,180.0,July 10 1924,Fordham,bachjo01
180,Dwayne Bacon,2018,2021,G,6-6,221.0,August 30 1995,Florida State,bacondw01
181,Henry Bacon,1973,1973,G,6-3,205.0,July 5 1948,Louisville,baconhe01
182,Jim Baechtold,1953,1957,F-G,6-4,205.0,December 9 1927,Eastern Kentucky University,baechji01
183,Dalibor Bagaric,2001,2003,C,7-1,255.0,February 7 1980,,bagarda01
184,John Bagley,1983,1994,G,6-0,185.0,April 23 1960,Boston College,baglejo01
185,Marvin Bagley III,2019,2023,F-C,6-11,235.0,March 14 1999,Duke,baglema01
186,Carl Bailey,1982,1982,C,7-0,210.0,April 23 1958,Tuskegee University,baileca01
187,Gus Bailey,1975,1980,G-F,6-5,185.0,February 18 1951,Texas-El Paso,bailegu01
188,James Bailey,1980,1988,F-C,6-9,220.0,May 21 1957,Rutgers University,baileja01
189,Thurl Bailey,1984,1999,F-C,6-11,215.0,April 7 1961,NC State,baileth01
190,Toby Bailey,1999,2000,G,6-6,213.0,November 19 1975,UCLA,baileto01
191,Cameron Bairstow,2015,2016,F-C,6-9,250.0,December 7 1990,New Mexico,bairsca01
192,Jimmie Baker,1976,1976,F,6-9,220.0,December 25 1953,UNLV Hawaii,bakerji01
193,Mark Baker,1999,1999,G,6-1,175.0,November 11 1969,Ohio State,bakerla01
194,Maurice Baker,2005,2005,G,6-1,175.0,July 28 1979,Oklahoma State,bakerma01
195,Norm Baker,1947,1947,G,6-0,180.0,February 17 1923,,bakerno01
196,Ron Baker,2017,2019,G,6-4,220.0,March 30 1993,Wichita State,bakerro01
197,Vin Baker,1994,2006,F,6-11,232.0,November 23 1971,University of Hartford,bakervi01
198,Patrick Baldwin Jr.,2023,2023,G-F,6-9,220.0,November 18 2002,UW-Milwaukee,baldwpa01
199,Wade Baldwin,2017,2019,G,6-4,200.0,March 29 1996,Vanderbilt,baldwwa01
200,Renaldo Balkman,2007,2012,F,6-8,208.0,July 14 1984,South Carolina,balkmre01
201,Cedric Ball,1991,1991,F,6-8,210.0,April 16 1968,UNC Charlotte,ballce01
202,LaMelo Ball,2021,2023,G,6-7,180.0,August 22 2001,,ballla01
203,Lonzo Ball,2018,2022,G,6-6,190.0,October 27 1997,UCLA,balllo01
204,Greg Ballard,1978,1989,F,6-7,215.0,January 29 1955,Oregon,ballagr01
205,Herschel Baltimore,1947,1947,F,6-4,195.0,June 21 1921,Penn State,baltihe01
206,Mo Bamba,2019,2023,C,7-0,231.0,May 12 1998,Texas,bambamo01
207,Paolo Banchero,2023,2023,F,6-10,250.0,November 12 2002,Duke,banchpa01
208,Desmond Bane,2021,2023,G,6-5,215.0,June 25 1998,TCU,banede01
209,Gene Banks,1982,1987,F-G,6-7,215.0,May 15 1959,Duke,banksge01
210,Marcus Banks,2004,2011,G,6-2,200.0,November 19 1981,UNLV,banksma01
211,Walker Banks,1971,1971,C,6-10,205.0,August 26 1947,Western Kentucky,bankswa01
212,Ken Bannister,1985,1991,F-C,6-9,235.0,April 1 1960,Indiana State University Saint Augustine's College,bannike01
213,Mike Bantom,1974,1982,F-C,6-9,200.0,December 3 1951,Saint Joseph's,bantomi01
214,Dalano Banton,2022,2023,G-F,6-9,204.0,November 7 1999,Nebraska,bantoda01
215,Cat Barber,2022,2022,G,6-2,190.0,July 25 1994,NC State,barbeca01
216,John Barber,1957,1957,F,6-6,210.0,June 27 1927,California State University Los Angeles,barbejo01
217,Leandro Barbosa,2004,2017,G,6-3,194.0,November 28 1982,,barbole01
218,Steve Bardo,1992,1996,G,6-5,190.0,April 5 1968,Illinois,bardost01
219,J.J. Barea,2007,2020,G,5-10,180.0,June 26 1984,Northeastern University,bareajo01
220,Andrea Bargnani,2007,2016,F-C,7-0,245.0,October 26 1985,,bargnan01
221,Cliff Barker,1950,1952,G,6-2,185.0,January 15 1921,Kentucky,barkecl01
222,Tom Barker,1977,1979,C-F,6-11,225.0,March 11 1955,Hawaii,barketo01
223,Charles Barkley,1985,2000,F,6-6,252.0,February 20 1963,Auburn,barklch01
224,Erick Barkley,2001,2002,G,6-1,177.0,February 21 1978,St. John's,barkler01
225,Don Barksdale,1952,1955,F-C,6-6,200.0,March 31 1923,UCLA,barksdo01
226,Dominick Barlow,2023,2023,F,6-9,221.0,May 26 2003,,barlodo01
227,Harrison Barnes,2013,2023,F,6-8,225.0,May 30 1992,UNC,barneha02
228,Harry Barnes,1969,1969,F,6-3,205.0,July 25 1945,Northeastern University,barneha01
229,Jim Barnes,1965,1971,C-F,6-8,210.0,April 13 1941,Texas-El Paso,barneji01
230,Marvin Barnes,1975,1980,F-C,6-8,210.0,July 27 1952,Providence,barnema01
231,Matt Barnes,2004,2017,F,6-7,226.0,March 9 1980,UCLA,barnema02
232,Scottie Barnes,2022,2023,G-F,6-9,227.0,August 1 2001,Florida State,barnesc01
233,Dick Barnett,1960,1974,G-F,6-4,190.0,October 2 1936,Tennessee State,barnedi01
234,Jim Barnett,1967,1977,G-F,6-4,170.0,July 7 1944,Oregon,barneji02
235,Nate Barnett,1976,1976,G,6-3,175.0,January 29 1953,University of Akron,barnena01
236,John Barnhill,1963,1972,G,6-1,180.0,March 20 1938,Tennessee State,barnhjo01
237,Norton Barnhill,1977,1977,G,6-4,205.0,July 15 1953,Washington State,barnhno01
238,Leo Barnhorst,1950,1954,F-G,6-4,190.0,May 11 1924,Notre Dame,barnhle01
239,John Barr,1947,1947,F,6-3,205.0,August 18 1918,Penn State,barrjo01
240,Mike Barr,1973,1977,G,6-3,180.0,October 19 1950,Duquesne,barrmi01
241,Moe Barr,1971,1971,G,6-4,195.0,June 19 1944,Duquesne,barrmo01
242,Andre Barrett,2005,2008,G,5-10,172.0,February 21 1982,Seton Hall,barrean01
243,Ernie Barrett,1954,1956,G-F,6-3,180.0,August 27 1929,Kansas State,barreer01
244,Mike Barrett,1970,1973,G,6-2,155.0,September 5 1943,West Virginia Tech,barremi01
245,RJ Barrett,2020,2023,G-F,6-6,214.0,June 14 2000,Duke,barrerj01
246,Earl Barron,2006,2015,C,7-0,250.0,August 14 1981,Memphis,barroea01
247,Dana Barros,1990,2004,G,5-11,163.0,April 13 1967,Boston College,barroda01
248,Brent Barry,1996,2009,G,6-6,185.0,December 31 1971,Oregon State,barrybr01
249,Drew Barry,1998,2000,G,6-5,191.0,February 17 1973,Georgia Tech,barrydr01
250,Jon Barry,1993,2006,G,6-4,195.0,July 25 1969,University of the Pacific Georgia Tech,barryjo01
251,Rick Barry,1966,1980,F,6-7,205.0,March 28 1944,Miami (FL),barryri01
252,Ed Bartels,1950,1951,F,6-5,195.0,October 8 1925,NC State,barteed01
253,Vic Bartolome,1972,1972,C,7-0,230.0,September 29 1948,Oregon State,bartovi01
254,Will Barton,2013,2023,G,6-6,181.0,January 6 1991,Memphis,bartowi01
255,Eddie Basden,2006,2006,G,6-5,215.0,February 15 1983,UNC Charlotte,basdeed01
256,Jerry Baskerville,1976,1976,F,6-7,190.0,November 10 1951,Temple,baskeje01
257,Brandon Bass,2006,2017,F,6-8,250.0,April 30 1985,LSU,bassbr01
258,Paris Bass,2022,2022,F,6-8,200.0,August 29 1995,Detroit Mercy,basspa01
259,Tim Bassett,1974,1980,F-C,6-8,225.0,April 1 1951,College of Southern Idaho Georgia,basseti01
260,Charles Bassey,2022,2023,C,6-11,235.0,October 28 2000,Western Kentucky,bassech01
261,Maceo Baston,2003,2009,F,6-9,215.0,May 29 1975,Michigan,bastoma01
262,Mengke Bateer,2002,2004,C,6-11,290.0,November 20 1975,,bateeme01
263,Billy Ray Bates,1980,1983,G,6-4,210.0,May 31 1956,Kentucky State University,batesbi01
264,Keita Bates-Diop,2019,2023,F,6-8,229.0,January 23 1996,Ohio State,bateske01
265,Esteban Batista,2006,2007,F-C,6-10,270.0,September 2 1983,,batises01
266,Mike Batiste,2003,2003,F,6-8,225.0,November 21 1977,Arizona State,batismi01
267,Tony Battie,1998,2012,C-F,6-11,230.0,February 11 1976,Texas Tech,battito01
268,Shane Battier,2002,2014,F,6-8,220.0,September 9 1978,Duke,battish01
269,John Battle,1986,1995,G,6-2,175.0,November 9 1962,Rutgers University,battljo01
270,Kenny Battle,1990,1993,F,6-6,210.0,October 10 1964,Northern Illinois Illinois,battlke01
271,Dave Batton,1983,1984,C,6-10,240.0,March 26 1956,Notre Dame,battoda01
272,Lloyd Batts,1975,1975,G-F,6-4,185.0,May 9 1951,Cincinnati,battsll01
273,Nicolas Batum,2009,2023,F-G,6-8,230.0,December 14 1988,,batumni01
274,Johnny Baum,1970,1974,F,6-5,200.0,June 17 1946,Peirce College Temple,baumjo01
275,Frankie Baumholtz,1947,1947,G,5-10,170.0,October 7 1918,Ohio University,baumhfr01
276,Lonny Baxter,2003,2006,F,6-8,260.0,January 27 1979,Maryland,baxtelo01
277,Jerryd Bayless,2009,2019,G,6-3,200.0,August 20 1988,Arizona,bayleje01
278,Elgin Baylor,1959,1972,F,6-5,225.0,September 16 1934,College of Idaho Seattle University,bayloel01
279,Howard Bayne,1968,1968,F,6-6,235.0,July 28 1942,Tennessee,bayneho01
280,Aron Baynes,2013,2021,C,6-10,260.0,December 9 1986,Washington State,baynear01
281,Sergei Bazarevich,1995,1995,G,6-2,168.0,March 16 1965,,bazarse01
282,Kent Bazemore,2013,2022,G-F,6-4,195.0,July 1 1989,Old Dominion,bazemke01
283,Darius Bazley,2020,2023,F,6-8,208.0,June 12 2000,,bazleda01
284,Ed Beach,1951,1951,F,6-3,200.0,January 25 1929,West Virginia,beached01
285,Bradley Beal,2013,2023,G,6-4,207.0,June 28 1993,Florida,bealbr01
286,Al Beard,1968,1968,C,6-9,200.0,April 27 1942,Norfolk State,beardal01
287,Butch Beard,1970,1979,G,6-3,185.0,May 4 1947,Louisville,beardbu01
288,Ralph Beard,1950,1951,G,5-10,175.0,December 2 1927,Kentucky,beardra01
289,Charlie Beasley,1968,1971,G-F,6-5,190.0,September 23 1945,SMU,beaslch01
290,Jerome Beasley,2004,2004,F,6-10,237.0,May 17 1980,Midland College University of North Dakota,beaslje01
291,John Beasley,1968,1974,F-C,6-9,225.0,February 5 1944,Texas A&M,beasljo01
292,Malik Beasley,2017,2023,G,6-4,187.0,November 26 1996,Florida State,beaslma01
293,Michael Beasley,2009,2019,F,6-9,235.0,January 9 1989,Kansas State,beaslmi01
294,Zelmo Beaty,1963,1975,C,6-9,225.0,October 25 1939,Prairie View A&M University,beatyze01
295,Rodrigue Beaubois,2010,2013,G,6-0,170.0,February 24 1988,,beaubro01
296,MarJon Beauchamp,2023,2023,G,6-6,199.0,October 12 2000,Yakima Valley Community College,beaucma01
297,Byron Beck,1968,1977,C-F,6-9,225.0,January 25 1945,Columbia Basin College Denver,beckby01
298,Corey Beck,1996,1999,G,6-1,190.0,May 27 1971,South Plains College Arkansas,beckco01
299,Ernie Beck,1954,1961,G-F,6-4,190.0,December 11 1931,Penn,becker01
300,Art Becker,1968,1973,F,6-7,205.0,January 12 1942,Arizona State,beckear01
301,Moe Becker,1947,1947,G-F,6-1,185.0,February 24 1917,Duquesne,beckemo01
302,Bob Bedell,1968,1971,F,6-7,205.0,June 26 1944,Stanford,bedelbo01
303,William Bedford,1987,1993,C,7-0,225.0,December 14 1963,Memphis,bedfowi01
304,Hank Beenders,1947,1949,C-F,6-6,185.0,June 2 1916,Long Island University,beendha01
